ID,Company,Title,Location,Salary,Status,URL
"21","Fastly","Business Development Representative","New York, NY","$75021 - $95021","external","https://careers.fastly.com/jobs/21"
"22","Datadog","Sales Development Representative","San Francisco, CA","$75022 - $95022","external","https://careers.datadog.com/jobs/22"
"23","New Relic","Client Relationship Manager","Seattle, WA","$75023 - $95023","external","https://careers.newrelic.com/jobs/23"
"24","GitLab","Customer Success Associate","Miami, FL","$75024 - $95024","external","https://careers.gitlab.com/jobs/24"
"25","GitHub","Enterprise Customer Success Manager","Phoenix, AZ","$75025 - $95025","submitted","https://careers.github.com/jobs/25"
"26","Bitbucket","Senior Account Manager","Portland, OR","$75026 - $95026","external","https://careers.bitbucket.com/jobs/26"
"27","Jira","Strategic Account Manager","San Diego, CA","$75027 - $95027","external","https://careers.jira.com/jobs/27"
"28","Confluence","Key Account Manager","Remote, US","$75028 - $95028","external","https://careers.confluence.com/jobs/28"
"29","Trello","National Account Manager","Atlanta, GA","$75029 - $95029","external","https://careers.trello.com/jobs/29"
"30","Asana","Customer Success Manager","Austin, TX","$75030 - $95030","submitted","https://careers.asana.com/jobs/30"
"31","Monday","Account Manager","Boston, MA","$75031 - $95031","external","https://careers.monday.com/jobs/31"
"32","Notion","Client Success Manager","Chicago, IL","$75032 - $95032","external","https://careers.notion.com/jobs/32"
"33","Airtable","Customer Success Specialist","Denver, CO","$75033 - $95033","external","https://careers.airtable.com/jobs/33"
"34","Figma","Account Executive","Los Angeles, CA","$75034 - $95034","external","https://careers.figma.com/jobs/34"
"35","Miro","Sales Representative","New York, NY","$75035 - $95035","submitted","https://careers.miro.com/jobs/35"
"36","Canva","Business Development Representative","San Francisco, CA","$75036 - $95036","external","https://careers.canva.com/jobs/36"
"37","Adobe","Sales Development Representative","Seattle, WA","$75037 - $95037","external","https://careers.adobe.com/jobs/37"
"38","Microsoft","Client Relationship Manager","Miami, FL","$75038 - $95038","external","https://careers.microsoft.com/jobs/38"
"39","Google","Customer Success Associate","Phoenix, AZ","$75039 - $95039","external","https://careers.google.com/jobs/39"
"40","Amazon","Enterprise Customer Success Manager","Portland, OR","$75040 - $95040","submitted","https://careers.amazon.com/jobs/40"
"41","Meta","Senior Account Manager","San Diego, CA","$75041 - $95041","external","https://careers.meta.com/jobs/41"
"42","Apple","Strategic Account Manager","Remote, US","$75042 - $95042","external","https://careers.apple.com/jobs/42"
"43","Netflix","Key Account Manager","Atlanta, GA","$75043 - $95043","external","https://careers.netflix.com/jobs/43"
"44","Spotify","National Account Manager","Austin, TX","$75044 - $95044","external","https://careers.spotify.com/jobs/44"
"45","Uber","Customer Success Manager","Boston, MA","$75045 - $95045","submitted","https://careers.uber.com/jobs/45"
"46","Lyft","Account Manager","Chicago, IL","$75046 - $95046","external","https://careers.lyft.com/jobs/46"
"47","Airbnb","Client Success Manager","Denver, CO","$75047 - $95047","external","https://careers.airbnb.com/jobs/47"
"48","Stripe","Customer Success Specialist","Los Angeles, CA","$75048 - $95048","external","https://careers.stripe.com/jobs/48"
"49","Square","Account Executive","New York, NY","$75049 - $95049","external","https://careers.square.com/jobs/49"
"50","PayPal","Sales Representative","San Francisco, CA","$75050 - $95050","submitted","https://careers.paypal.com/jobs/50"
"51","Shopify","Business Development Representative","Seattle, WA","$75051 - $95051","external","https://careers.shopify.com/jobs/51"
"52","BigCommerce","Sales Development Representative","Miami, FL","$75052 - $95052","external","https://careers.bigcommerce.com/jobs/52"
"53","WooCommerce","Client Relationship Manager","Phoenix, AZ","$75053 - $95053","external","https://careers.woocommerce.com/jobs/53"
"54","Salesforce","Customer Success Associate","Portland, OR","$75054 - $95054","external","https://careers.salesforce.com/jobs/54"
"55","HubSpot","Enterprise Customer Success Manager","San Diego, CA","$75055 - $95055","submitted","https://careers.hubspot.com/jobs/55"
"56","Zoom","Senior Account Manager","Remote, US","$75056 - $95056","external","https://careers.zoom.com/jobs/56"
"57","Slack","Strategic Account Manager","Atlanta, GA","$75057 - $95057","external","https://careers.slack.com/jobs/57"
"58","Atlassian","Key Account Manager","Austin, TX","$75058 - $95058","external","https://careers.atlassian.com/jobs/58"
"59","Zendesk","National Account Manager","Boston, MA","$75059 - $95059","external","https://careers.zendesk.com/jobs/59"
"60","ServiceNow","Customer Success Manager","Chicago, IL","$75060 - $95060","submitted","https://careers.servicenow.com/jobs/60"
"61","Workday","Account Manager","Denver, CO","$75061 - $95061","external","https://careers.workday.com/jobs/61"
"62","Snowflake","Client Success Manager","Los Angeles, CA","$75062 - $95062","external","https://careers.snowflake.com/jobs/62"
"63","Datadog","Customer Success Specialist","New York, NY","$75063 - $95063","external","https://careers.datadog.com/jobs/63"
"64","MongoDB","Account Executive","San Francisco, CA","$75064 - $95064","external","https://careers.mongodb.com/jobs/64"
"65","Elastic","Sales Representative","Seattle, WA","$75065 - $95065","submitted","https://careers.elastic.com/jobs/65"
"66","Twilio","Business Development Representative","Miami, FL","$75066 - $95066","external","https://careers.twilio.com/jobs/66"
"67","SendGrid","Sales Development Representative","Phoenix, AZ","$75067 - $95067","external","https://careers.sendgrid.com/jobs/67"
"68","Mailchimp","Client Relationship Manager","Portland, OR","$75068 - $95068","external","https://careers.mailchimp.com/jobs/68"
"69","DocuSign","Customer Success Associate","San Diego, CA","$75069 - $95069","external","https://careers.docusign.com/jobs/69"
"70","Dropbox","Enterprise Customer Success Manager","Remote, US","$75070 - $95070","submitted","https://careers.dropbox.com/jobs/70"
"71","Box","Senior Account Manager","Atlanta, GA","$75071 - $95071","external","https://careers.box.com/jobs/71"
"72","Okta","Strategic Account Manager","Austin, TX","$75072 - $95072","external","https://careers.okta.com/jobs/72"
"73","Auth0","Key Account Manager","Boston, MA","$75073 - $95073","external","https://careers.auth0.com/jobs/73"
"74","Cloudflare","National Account Manager","Chicago, IL","$75074 - $95074","external","https://careers.cloudflare.com/jobs/74"
"75","Fastly","Customer Success Manager","Denver, CO","$75075 - $95075","submitted","https://careers.fastly.com/jobs/75"
"76","Datadog","Account Manager","Los Angeles, CA","$75076 - $95076","external","https://careers.datadog.com/jobs/76"
"77","New Relic","Client Success Manager","New York, NY","$75077 - $95077","external","https://careers.newrelic.com/jobs/77"
"78","GitLab","Customer Success Specialist","San Francisco, CA","$75078 - $95078","external","https://careers.gitlab.com/jobs/78"
"79","GitHub","Account Executive","Seattle, WA","$75079 - $95079","external","https://careers.github.com/jobs/79"
"80","Bitbucket","Sales Representative","Miami, FL","$75080 - $95080","submitted","https://careers.bitbucket.com/jobs/80"
"81","Jira","Business Development Representative","Phoenix, AZ","$75081 - $95081","external","https://careers.jira.com/jobs/81"
"82","Confluence","Sales Development Representative","Portland, OR","$75082 - $95082","external","https://careers.confluence.com/jobs/82"
"83","Trello","Client Relationship Manager","San Diego, CA","$75083 - $95083","external","https://careers.trello.com/jobs/83"
"84","Asana","Customer Success Associate","Remote, US","$75084 - $95084","external","https://careers.asana.com/jobs/84"
"85","Monday","Enterprise Customer Success Manager","Atlanta, GA","$75085 - $95085","submitted","https://careers.monday.com/jobs/85"
"86","Notion","Senior Account Manager","Austin, TX","$75086 - $95086","external","https://careers.notion.com/jobs/86"
"87","Airtable","Strategic Account Manager","Boston, MA","$75087 - $95087","external","https://careers.airtable.com/jobs/87"
"88","Figma","Key Account Manager","Chicago, IL","$75088 - $95088","external","https://careers.figma.com/jobs/88"
"89","Miro","National Account Manager","Denver, CO","$75089 - $95089","external","https://careers.miro.com/jobs/89"
"90","Canva","Customer Success Manager","Los Angeles, CA","$75090 - $95090","submitted","https://careers.canva.com/jobs/90"
"91","Adobe","Account Manager","New York, NY","$75091 - $95091","external","https://careers.adobe.com/jobs/91"
"92","Microsoft","Client Success Manager","San Francisco, CA","$75092 - $95092","external","https://careers.microsoft.com/jobs/92"
"93","Google","Customer Success Specialist","Seattle, WA","$75093 - $95093","external","https://careers.google.com/jobs/93"
"94","Amazon","Account Executive","Miami, FL","$75094 - $95094","external","https://careers.amazon.com/jobs/94"
"95","Meta","Sales Representative","Phoenix, AZ","$75095 - $95095","submitted","https://careers.meta.com/jobs/95"
"96","Apple","Business Development Representative","Portland, OR","$75096 - $95096","external","https://careers.apple.com/jobs/96"
"97","Netflix","Sales Development Representative","San Diego, CA","$75097 - $95097","external","https://careers.netflix.com/jobs/97"
"98","Spotify","Client Relationship Manager","Remote, US","$75098 - $95098","external","https://careers.spotify.com/jobs/98"
"99","Uber","Customer Success Associate","Atlanta, GA","$75099 - $95099","external","https://careers.uber.com/jobs/99"
"100","Lyft","Enterprise Customer Success Manager","Austin, TX","$75100 - $95100","submitted","https://careers.lyft.com/jobs/100"
"101","Airbnb","Senior Account Manager","Boston, MA","$75101 - $95101","external","https://careers.airbnb.com/jobs/101"
"102","Stripe","Strategic Account Manager","Chicago, IL","$75102 - $95102","external","https://careers.stripe.com/jobs/102"
"103","Square","Key Account Manager","Denver, CO","$75103 - $95103","external","https://careers.square.com/jobs/103"
"104","PayPal","National Account Manager","Los Angeles, CA","$75104 - $95104","external","https://careers.paypal.com/jobs/104"
"105","Shopify","Customer Success Manager","New York, NY","$75105 - $95105","submitted","https://careers.shopify.com/jobs/105"
"106","BigCommerce","Account Manager","San Francisco, CA","$75106 - $95106","external","https://careers.bigcommerce.com/jobs/106"
"107","WooCommerce","Client Success Manager","Seattle, WA","$75107 - $95107","external","https://careers.woocommerce.com/jobs/107"
"108","Salesforce","Customer Success Specialist","Miami, FL","$75108 - $95108","external","https://careers.salesforce.com/jobs/108"
"109","HubSpot","Account Executive","Phoenix, AZ","$75109 - $95109","external","https://careers.hubspot.com/jobs/109"
"110","Zoom","Sales Representative","Portland, OR","$75110 - $95110","submitted","https://careers.zoom.com/jobs/110"
"111","Slack","Business Development Representative","San Diego, CA","$75111 - $95111","external","https://careers.slack.com/jobs/111"
"112","Atlassian","Sales Development Representative","Remote, US","$75112 - $95112","external","https://careers.atlassian.com/jobs/112"
"113","Zendesk","Client Relationship Manager","Atlanta, GA","$75113 - $95113","external","https://careers.zendesk.com/jobs/113"
"114","ServiceNow","Customer Success Associate","Austin, TX","$75114 - $95114","external","https://careers.servicenow.com/jobs/114"
"115","Workday","Enterprise Customer Success Manager","Boston, MA","$75115 - $95115","submitted","https://careers.workday.com/jobs/115"
"116","Snowflake","Senior Account Manager","Chicago, IL","$75116 - $95116","external","https://careers.snowflake.com/jobs/116"
"117","Datadog","Strategic Account Manager","Denver, CO","$75117 - $95117","external","https://careers.datadog.com/jobs/117"
"118","MongoDB","Key Account Manager","Los Angeles, CA","$75118 - $95118","external","https://careers.mongodb.com/jobs/118"
"119","Elastic","National Account Manager","New York, NY","$75119 - $95119","external","https://careers.elastic.com/jobs/119"
"120","Twilio","Customer Success Manager","San Francisco, CA","$75120 - $95120","submitted","https://careers.twilio.com/jobs/120"
"121","SendGrid","Account Manager","Seattle, WA","$75121 - $95121","external","https://careers.sendgrid.com/jobs/121"
"122","Mailchimp","Client Success Manager","Miami, FL","$75122 - $95122","external","https://careers.mailchimp.com/jobs/122"
"123","DocuSign","Customer Success Specialist","Phoenix, AZ","$75123 - $95123","external","https://careers.docusign.com/jobs/123"
"124","Dropbox","Account Executive","Portland, OR","$75124 - $95124","external","https://careers.dropbox.com/jobs/124"
"125","Box","Sales Representative","San Diego, CA","$75125 - $95125","submitted","https://careers.box.com/jobs/125"
"126","Okta","Business Development Representative","Remote, US","$75126 - $95126","external","https://careers.okta.com/jobs/126"
"127","Auth0","Sales Development Representative","Atlanta, GA","$75127 - $95127","external","https://careers.auth0.com/jobs/127"
"128","Cloudflare","Client Relationship Manager","Austin, TX","$75128 - $95128","external","https://careers.cloudflare.com/jobs/128"
"129","Fastly","Customer Success Associate","Boston, MA","$75129 - $95129","external","https://careers.fastly.com/jobs/129"
"130","Datadog","Enterprise Customer Success Manager","Chicago, IL","$75130 - $95130","submitted","https://careers.datadog.com/jobs/130"
"131","New Relic","Senior Account Manager","Denver, CO","$75131 - $95131","external","https://careers.newrelic.com/jobs/131"
"132","GitLab","Strategic Account Manager","Los Angeles, CA","$75132 - $95132","external","https://careers.gitlab.com/jobs/132"
"133","GitHub","Key Account Manager","New York, NY","$75133 - $95133","external","https://careers.github.com/jobs/133"
"134","Bitbucket","National Account Manager","San Francisco, CA","$75134 - $95134","external","https://careers.bitbucket.com/jobs/134"
"135","Jira","Customer Success Manager","Seattle, WA","$75135 - $95135","submitted","https://careers.jira.com/jobs/135"
"136","Confluence","Account Manager","Miami, FL","$75136 - $95136","external","https://careers.confluence.com/jobs/136"
"137","Trello","Client Success Manager","Phoenix, AZ","$75137 - $95137","external","https://careers.trello.com/jobs/137"
"138","Asana","Customer Success Specialist","Portland, OR","$75138 - $95138","external","https://careers.asana.com/jobs/138"
"139","Monday","Account Executive","San Diego, CA","$75139 - $95139","external","https://careers.monday.com/jobs/139"
"140","Notion","Sales Representative","Remote, US","$75140 - $95140","submitted","https://careers.notion.com/jobs/140"
"141","Airtable","Business Development Representative","Atlanta, GA","$75141 - $95141","external","https://careers.airtable.com/jobs/141"
"142","Figma","Sales Development Representative","Austin, TX","$75142 - $95142","external","https://careers.figma.com/jobs/142"
"143","Miro","Client Relationship Manager","Boston, MA","$75143 - $95143","external","https://careers.miro.com/jobs/143"
"144","Canva","Customer Success Associate","Chicago, IL","$75144 - $95144","external","https://careers.canva.com/jobs/144"
"145","Adobe","Enterprise Customer Success Manager","Denver, CO","$75145 - $95145","submitted","https://careers.adobe.com/jobs/145"
"146","Microsoft","Senior Account Manager","Los Angeles, CA","$75146 - $95146","external","https://careers.microsoft.com/jobs/146"
"147","Google","Strategic Account Manager","New York, NY","$75147 - $95147","external","https://careers.google.com/jobs/147"
"148","Amazon","Key Account Manager","San Francisco, CA","$75148 - $95148","external","https://careers.amazon.com/jobs/148"
"149","Meta","National Account Manager","Seattle, WA","$75149 - $95149","external","https://careers.meta.com/jobs/149"
"150","Apple","Customer Success Manager","Miami, FL","$75150 - $95150","submitted","https://careers.apple.com/jobs/150"
"151","Netflix","Account Manager","Phoenix, AZ","$75151 - $95151","external","https://careers.netflix.com/jobs/151"
"152","Spotify","Client Success Manager","Portland, OR","$75152 - $95152","external","https://careers.spotify.com/jobs/152"
"153","Uber","Customer Success Specialist","San Diego, CA","$75153 - $95153","external","https://careers.uber.com/jobs/153"
"154","Lyft","Account Executive","Remote, US","$75154 - $95154","external","https://careers.lyft.com/jobs/154"
"155","Airbnb","Sales Representative","Atlanta, GA","$75155 - $95155","submitted","https://careers.airbnb.com/jobs/155"
"156","Stripe","Business Development Representative","Austin, TX","$75156 - $95156","external","https://careers.stripe.com/jobs/156"
"157","Square","Sales Development Representative","Boston, MA","$75157 - $95157","external","https://careers.square.com/jobs/157"
"158","PayPal","Client Relationship Manager","Chicago, IL","$75158 - $95158","external","https://careers.paypal.com/jobs/158"
"159","Shopify","Customer Success Associate","Denver, CO","$75159 - $95159","external","https://careers.shopify.com/jobs/159"
"160","BigCommerce","Enterprise Customer Success Manager","Los Angeles, CA","$75160 - $95160","submitted","https://careers.bigcommerce.com/jobs/160"
"161","WooCommerce","Senior Account Manager","New York, NY","$75161 - $95161","external","https://careers.woocommerce.com/jobs/161"
"162","Salesforce","Strategic Account Manager","San Francisco, CA","$75162 - $95162","external","https://careers.salesforce.com/jobs/162"
"163","HubSpot","Key Account Manager","Seattle, WA","$75163 - $95163","external","https://careers.hubspot.com/jobs/163"
"164","Zoom","National Account Manager","Miami, FL","$75164 - $95164","external","https://careers.zoom.com/jobs/164"
"165","Slack","Customer Success Manager","Phoenix, AZ","$75165 - $95165","submitted","https://careers.slack.com/jobs/165"
"166","Atlassian","Account Manager","Portland, OR","$75166 - $95166","external","https://careers.atlassian.com/jobs/166"
"167","Zendesk","Client Success Manager","San Diego, CA","$75167 - $95167","external","https://careers.zendesk.com/jobs/167"
"168","ServiceNow","Customer Success Specialist","Remote, US","$75168 - $95168","external","https://careers.servicenow.com/jobs/168"
"169","Workday","Account Executive","Atlanta, GA","$75169 - $95169","external","https://careers.workday.com/jobs/169"
"170","Snowflake","Sales Representative","Austin, TX","$75170 - $95170","submitted","https://careers.snowflake.com/jobs/170"
"171","Datadog","Business Development Representative","Boston, MA","$75171 - $95171","external","https://careers.datadog.com/jobs/171"
"172","MongoDB","Sales Development Representative","Chicago, IL","$75172 - $95172","external","https://careers.mongodb.com/jobs/172"
"173","Elastic","Client Relationship Manager","Denver, CO","$75173 - $95173","external","https://careers.elastic.com/jobs/173"
"174","Twilio","Customer Success Associate","Los Angeles, CA","$75174 - $95174","external","https://careers.twilio.com/jobs/174"
"175","SendGrid","Enterprise Customer Success Manager","New York, NY","$75175 - $95175","submitted","https://careers.sendgrid.com/jobs/175"
"176","Mailchimp","Senior Account Manager","San Francisco, CA","$75176 - $95176","external","https://careers.mailchimp.com/jobs/176"
"177","DocuSign","Strategic Account Manager","Seattle, WA","$75177 - $95177","external","https://careers.docusign.com/jobs/177"
"178","Dropbox","Key Account Manager","Miami, FL","$75178 - $95178","external","https://careers.dropbox.com/jobs/178"
"179","Box","National Account Manager","Phoenix, AZ","$75179 - $95179","external","https://careers.box.com/jobs/179"
"180","Okta","Customer Success Manager","Portland, OR","$75180 - $95180","submitted","https://careers.okta.com/jobs/180"
"181","Auth0","Account Manager","San Diego, CA","$75181 - $95181","external","https://careers.auth0.com/jobs/181"
"182","Cloudflare","Client Success Manager","Remote, US","$75182 - $95182","external","https://careers.cloudflare.com/jobs/182"
"183","Fastly","Customer Success Specialist","Atlanta, GA","$75183 - $95183","external","https://careers.fastly.com/jobs/183"
"184","Datadog","Account Executive","Austin, TX","$75184 - $95184","external","https://careers.datadog.com/jobs/184"
"185","New Relic","Sales Representative","Boston, MA","$75185 - $95185","submitted","https://careers.newrelic.com/jobs/185"
"186","GitLab","Business Development Representative","Chicago, IL","$75186 - $95186","external","https://careers.gitlab.com/jobs/186"
"187","GitHub","Sales Development Representative","Denver, CO","$75187 - $95187","external","https://careers.github.com/jobs/187"
"188","Bitbucket","Client Relationship Manager","Los Angeles, CA","$75188 - $95188","external","https://careers.bitbucket.com/jobs/188"
"189","Jira","Customer Success Associate","New York, NY","$75189 - $95189","external","https://careers.jira.com/jobs/189"
"190","Confluence","Enterprise Customer Success Manager","San Francisco, CA","$75190 - $95190","submitted","https://careers.confluence.com/jobs/190"
"191","Trello","Senior Account Manager","Seattle, WA","$75191 - $95191","external","https://careers.trello.com/jobs/191"
"192","Asana","Strategic Account Manager","Miami, FL","$75192 - $95192","external","https://careers.asana.com/jobs/192"
"193","Monday","Key Account Manager","Phoenix, AZ","$75193 - $95193","external","https://careers.monday.com/jobs/193"
"194","Notion","National Account Manager","Portland, OR","$75194 - $95194","external","https://careers.notion.com/jobs/194"
"195","Airtable","Customer Success Manager","San Diego, CA","$75195 - $95195","submitted","https://careers.airtable.com/jobs/195"
"196","Figma","Account Manager","Remote, US","$75196 - $95196","external","https://careers.figma.com/jobs/196"
"197","Miro","Client Success Manager","Atlanta, GA","$75197 - $95197","external","https://careers.miro.com/jobs/197"
"198","Canva","Customer Success Specialist","Austin, TX","$75198 - $95198","external","https://careers.canva.com/jobs/198"
"199","Adobe","Account Executive","Boston, MA","$75199 - $95199","external","https://careers.adobe.com/jobs/199"
"200","Microsoft","Sales Representative","Chicago, IL","$75200 - $95200","submitted","https://careers.microsoft.com/jobs/200"
"201","Google","Business Development Representative","Denver, CO","$75201 - $95201","external","https://careers.google.com/jobs/201"
"202","Amazon","Sales Development Representative","Los Angeles, CA","$75202 - $95202","external","https://careers.amazon.com/jobs/202"
"203","Meta","Client Relationship Manager","New York, NY","$75203 - $95203","external","https://careers.meta.com/jobs/203"
"204","Apple","Customer Success Associate","San Francisco, CA","$75204 - $95204","external","https://careers.apple.com/jobs/204"
"205","Netflix","Enterprise Customer Success Manager","Seattle, WA","$75205 - $95205","submitted","https://careers.netflix.com/jobs/205"
"206","Spotify","Senior Account Manager","Miami, FL","$75206 - $95206","external","https://careers.spotify.com/jobs/206"
"207","Uber","Strategic Account Manager","Phoenix, AZ","$75207 - $95207","external","https://careers.uber.com/jobs/207"
"208","Lyft","Key Account Manager","Portland, OR","$75208 - $95208","external","https://careers.lyft.com/jobs/208"
"209","Airbnb","National Account Manager","San Diego, CA","$75209 - $95209","external","https://careers.airbnb.com/jobs/209"
"210","Stripe","Customer Success Manager","Remote, US","$75210 - $95210","submitted","https://careers.stripe.com/jobs/210"
"211","Square","Account Manager","Atlanta, GA","$75211 - $95211","external","https://careers.square.com/jobs/211"
"212","PayPal","Client Success Manager","Austin, TX","$75212 - $95212","external","https://careers.paypal.com/jobs/212"
"213","Shopify","Customer Success Specialist","Boston, MA","$75213 - $95213","external","https://careers.shopify.com/jobs/213"
"214","BigCommerce","Account Executive","Chicago, IL","$75214 - $95214","external","https://careers.bigcommerce.com/jobs/214"
"215","WooCommerce","Sales Representative","Denver, CO","$75215 - $95215","submitted","https://careers.woocommerce.com/jobs/215"
"216","Salesforce","Business Development Representative","Los Angeles, CA","$75216 - $95216","external","https://careers.salesforce.com/jobs/216"
"217","HubSpot","Sales Development Representative","New York, NY","$75217 - $95217","external","https://careers.hubspot.com/jobs/217"
"218","Zoom","Client Relationship Manager","San Francisco, CA","$75218 - $95218","external","https://careers.zoom.com/jobs/218"
"219","Slack","Customer Success Associate","Seattle, WA","$75219 - $95219","external","https://careers.slack.com/jobs/219"
"220","Atlassian","Enterprise Customer Success Manager","Miami, FL","$75220 - $95220","submitted","https://careers.atlassian.com/jobs/220"
"221","Zendesk","Senior Account Manager","Phoenix, AZ","$75221 - $95221","external","https://careers.zendesk.com/jobs/221"
"222","ServiceNow","Strategic Account Manager","Portland, OR","$75222 - $95222","external","https://careers.servicenow.com/jobs/222"
"223","Workday","Key Account Manager","San Diego, CA","$75223 - $95223","external","https://careers.workday.com/jobs/223"
"224","Snowflake","National Account Manager","Remote, US","$75224 - $95224","external","https://careers.snowflake.com/jobs/224"
"225","Datadog","Customer Success Manager","Atlanta, GA","$75225 - $95225","submitted","https://careers.datadog.com/jobs/225"
"226","MongoDB","Account Manager","Austin, TX","$75226 - $95226","external","https://careers.mongodb.com/jobs/226"
"227","Elastic","Client Success Manager","Boston, MA","$75227 - $95227","external","https://careers.elastic.com/jobs/227"
"228","Twilio","Customer Success Specialist","Chicago, IL","$75228 - $95228","external","https://careers.twilio.com/jobs/228"
"229","SendGrid","Account Executive","Denver, CO","$75229 - $95229","external","https://careers.sendgrid.com/jobs/229"
"230","Mailchimp","Sales Representative","Los Angeles, CA","$75230 - $95230","submitted","https://careers.mailchimp.com/jobs/230"
"231","DocuSign","Business Development Representative","New York, NY","$75231 - $95231","external","https://careers.docusign.com/jobs/231"
"232","Dropbox","Sales Development Representative","San Francisco, CA","$75232 - $95232","external","https://careers.dropbox.com/jobs/232"
"233","Box","Client Relationship Manager","Seattle, WA","$75233 - $95233","external","https://careers.box.com/jobs/233"
"234","Okta","Customer Success Associate","Miami, FL","$75234 - $95234","external","https://careers.okta.com/jobs/234"
"235","Auth0","Enterprise Customer Success Manager","Phoenix, AZ","$75235 - $95235","submitted","https://careers.auth0.com/jobs/235"
"236","Cloudflare","Senior Account Manager","Portland, OR","$75236 - $95236","external","https://careers.cloudflare.com/jobs/236"
"237","Fastly","Strategic Account Manager","San Diego, CA","$75237 - $95237","external","https://careers.fastly.com/jobs/237"
"238","Datadog","Key Account Manager","Remote, US","$75238 - $95238","external","https://careers.datadog.com/jobs/238"
"239","New Relic","National Account Manager","Atlanta, GA","$75239 - $95239","external","https://careers.newrelic.com/jobs/239"
"240","GitLab","Customer Success Manager","Austin, TX","$75240 - $95240","submitted","https://careers.gitlab.com/jobs/240"
"241","GitHub","Account Manager","Boston, MA","$75241 - $95241","external","https://careers.github.com/jobs/241"
"242","Bitbucket","Client Success Manager","Chicago, IL","$75242 - $95242","external","https://careers.bitbucket.com/jobs/242"
"243","Jira","Customer Success Specialist","Denver, CO","$75243 - $95243","external","https://careers.jira.com/jobs/243"
"244","Confluence","Account Executive","Los Angeles, CA","$75244 - $95244","external","https://careers.confluence.com/jobs/244"
"245","Trello","Sales Representative","New York, NY","$75245 - $95245","submitted","https://careers.trello.com/jobs/245"
"246","Asana","Business Development Representative","San Francisco, CA","$75246 - $95246","external","https://careers.asana.com/jobs/246"
"247","Monday","Sales Development Representative","Seattle, WA","$75247 - $95247","external","https://careers.monday.com/jobs/247"
"248","Notion","Client Relationship Manager","Miami, FL","$75248 - $95248","external","https://careers.notion.com/jobs/248"
"249","Airtable","Customer Success Associate","Phoenix, AZ","$75249 - $95249","external","https://careers.airtable.com/jobs/249"
"250","Figma","Enterprise Customer Success Manager","Portland, OR","$75250 - $95250","submitted","https://careers.figma.com/jobs/250"
"251","Miro","Senior Account Manager","San Diego, CA","$75251 - $95251","external","https://careers.miro.com/jobs/251"
"252","Canva","Strategic Account Manager","Remote, US","$75252 - $95252","external","https://careers.canva.com/jobs/252"
"253","Adobe","Key Account Manager","Atlanta, GA","$75253 - $95253","external","https://careers.adobe.com/jobs/253"
"254","Microsoft","National Account Manager","Austin, TX","$75254 - $95254","external","https://careers.microsoft.com/jobs/254"
"255","Google","Customer Success Manager","Boston, MA","$75255 - $95255","submitted","https://careers.google.com/jobs/255"
"256","Amazon","Account Manager","Chicago, IL","$75256 - $95256","external","https://careers.amazon.com/jobs/256"
"257","Meta","Client Success Manager","Denver, CO","$75257 - $95257","external","https://careers.meta.com/jobs/257"
"258","Apple","Customer Success Specialist","Los Angeles, CA","$75258 - $95258","external","https://careers.apple.com/jobs/258"
